id,trajectory_group,is_answerable,answer_correctness,faithfulness,answer_relevancy,semantic_similarity,segment_count,unique_clusters,transition_count,revisit_count,cluster_entropy,path_distance_3d,start_to_end_distance_3d,start_cluster,final_cluster
hr_001,wrong_refusal,True,0.6112242038624331,0.6153846153846154,0.781320622700725,0.7782301487830661,6,3,5,3,1.251629,15.695704,3.442662,1,5
hr_002,unsupported_answer,False,0.12888203176666949,0.8571428571428571,0.8911511864095869,0.18219479373334466,16,2,15,14,0.896038,185.143784,7.135072,7,7
hr_003,correct_refusal,False,0.02617078651419593,1.0,0.8990002455234134,0.10468314605678372,9,2,8,7,0.503258,59.081863,6.335802,7,2
hr_004,unsupported_answer,False,0.06089115371647339,1.0,0.8267323691359826,0.24356461486589356,8,2,7,6,0.543564,46.820358,15.588399,1,2
hr_005,unsupported_answer,False,0.036302567651798276,0.8888888888888888,0.7968406870024558,0.1452102706071931,7,2,6,5,0.591673,24.883965,9.5373,2,7
hr_006,high_correctness,True,0.5725363965081304,0.7,0.804391697666917,0.7901455860325214,12,3,11,9,1.554585,132.901001,6.314406,7,2
hr_007,wrong_refusal,True,0.4353658468901237,0.8333333333333334,0.6570845569940915,0.741463387560495,5,2,4,3,0.721928,20.201796,3.091511,2,5
hr_008,wrong_refusal,True,0.4568258493245463,0.8333333333333334,0.878797772441633,0.7684798678864206,5,1,4,4,-0.0,28.699179,3.381343,2,2
hr_009,high_correctness,True,0.532713528368954,0.8571428571428571,0.7091262579718721,0.8265062873888596,10,1,9,9,-0.0,42.274235,4.76574,2,2
hr_010,medium_correctness,True,0.429631055818255,0.9230769230769231,0.8510748972890245,0.7711558022203884,10,2,9,8,0.881291,45.569077,11.081171,1,1
hr_011,wrong_refusal,True,0.5736032480455171,0.7894736842105263,0.7104146474848514,0.8544129921820683,15,2,14,13,0.353359,112.77668,29.57119,3,2
hr_012,wrong_refusal,True,0.43627112721411826,0.8888888888888888,0.801902867676678,0.6541754179473822,9,3,8,6,1.392147,60.246529,8.502911,5,2
hr_013,correct_refusal,False,0.48758479420903217,0.4444444444444444,0.0,0.7503391768361285,6,1,5,5,-0.0,22.192684,8.373508,5,5
hr_014,correct_refusal,False,0.15069741822441357,0.7272727272727273,0.0,0.22778967289765428,8,2,7,6,1.0,39.066769,2.454421,5,5
hr_015,correct_refusal,False,0.6050320274470001,0.45454545454545453,0.9613220938249696,0.8411807413669479,12,3,11,9,1.459148,170.912674,2.252861,5,5
hr_016,medium_correctness,True,0.49584930712386877,0.46153846153846156,0.7598760995551054,0.7833972284954749,8,3,7,5,1.061278,31.979519,7.795268,5,1
hr_017,wrong_refusal,True,0.49484181842675734,0.95,0.7620283320657472,0.7793672737070291,20,3,19,17,1.15678,284.557434,7.120537,7,7
hr_018,correct_refusal,False,0.330403266611098,0.5,0.0,0.8216130664443919,3,1,2,2,-0.0,16.636019,16.522703,1,1
hr_019,medium_correctness,True,0.2694653295943146,0.25,0.609786957599278,0.5324067729227129,11,2,10,9,0.439497,73.689751,47.059814,3,4
hr_020,correct_refusal,False,0.08923970887686114,0.5,0.7165284598448458,0.35695883550744456,11,2,10,9,0.845351,163.678513,8.574763,2,2
