model,mode,primary_failure_tag,count
Qwen/Qwen3.5-0.8B,agentic,citation_mismatch,2
Qwen/Qwen3.5-0.8B,agentic,language_or_format_failure,1
Qwen/Qwen3.5-0.8B,agentic,missing_key_condition,6
Qwen/Qwen3.5-0.8B,agentic,none,1
Qwen/Qwen3.5-0.8B,agentic,over_answering,3
Qwen/Qwen3.5-0.8B,agentic,unsupported_claim,11
Qwen/Qwen3.5-0.8B,agentic,verbose_low_quality,6
Qwen/Qwen3.5-0.8B,single_shot,citation_mismatch,2
Qwen/Qwen3.5-0.8B,single_shot,language_or_format_failure,2
Qwen/Qwen3.5-0.8B,single_shot,missing_key_condition,10
Qwen/Qwen3.5-0.8B,single_shot,none,1
Qwen/Qwen3.5-0.8B,single_shot,over_answering,2
Qwen/Qwen3.5-0.8B,single_shot,unsupported_claim,11
Qwen/Qwen3.5-0.8B,single_shot,verbose_low_quality,2
Qwen/Qwen3.5-2B,agentic,citation_mismatch,1
Qwen/Qwen3.5-2B,agentic,evidence_insufficient,2
Qwen/Qwen3.5-2B,agentic,language_or_format_failure,2
Qwen/Qwen3.5-2B,agentic,missing_key_condition,9
Qwen/Qwen3.5-2B,agentic,none,4
Qwen/Qwen3.5-2B,agentic,over_answering,5
Qwen/Qwen3.5-2B,agentic,unsupported_claim,6
Qwen/Qwen3.5-2B,agentic,verbose_low_quality,1
Qwen/Qwen3.5-2B,single_shot,evidence_insufficient,1
Qwen/Qwen3.5-2B,single_shot,language_or_format_failure,2
Qwen/Qwen3.5-2B,single_shot,missing_key_condition,17
Qwen/Qwen3.5-2B,single_shot,none,3
Qwen/Qwen3.5-2B,single_shot,over_answering,4
Qwen/Qwen3.5-2B,single_shot,unsupported_claim,3
Qwen/Qwen3.5-4B,agentic,citation_mismatch,1
Qwen/Qwen3.5-4B,agentic,language_or_format_failure,1
Qwen/Qwen3.5-4B,agentic,missing_key_condition,6
Qwen/Qwen3.5-4B,agentic,none,12
Qwen/Qwen3.5-4B,agentic,over_answering,5
Qwen/Qwen3.5-4B,agentic,unsupported_claim,4
Qwen/Qwen3.5-4B,agentic,verbose_low_quality,1
Qwen/Qwen3.5-4B,single_shot,citation_mismatch,1
Qwen/Qwen3.5-4B,single_shot,evidence_insufficient,1
Qwen/Qwen3.5-4B,single_shot,language_or_format_failure,3
Qwen/Qwen3.5-4B,single_shot,missing_key_condition,9
Qwen/Qwen3.5-4B,single_shot,none,8
Qwen/Qwen3.5-4B,single_shot,over_answering,3
Qwen/Qwen3.5-4B,single_shot,unsupported_claim,5
Qwen/Qwen3.5-9B,agentic,missing_key_condition,3
Qwen/Qwen3.5-9B,agentic,none,20
Qwen/Qwen3.5-9B,agentic,over_answering,3
Qwen/Qwen3.5-9B,agentic,unsupported_claim,3
Qwen/Qwen3.5-9B,agentic,verbose_low_quality,1
Qwen/Qwen3.5-9B,single_shot,evidence_insufficient,1
Qwen/Qwen3.5-9B,single_shot,missing_key_condition,9
Qwen/Qwen3.5-9B,single_shot,none,16
Qwen/Qwen3.5-9B,single_shot,over_answering,2
Qwen/Qwen3.5-9B,single_shot,unsupported_claim,2
google/gemma-4-E2B-it,agentic,language_or_format_failure,5
google/gemma-4-E2B-it,agentic,missing_key_condition,11
google/gemma-4-E2B-it,agentic,none,11
google/gemma-4-E2B-it,agentic,over_answering,1
google/gemma-4-E2B-it,agentic,unsupported_claim,1
google/gemma-4-E2B-it,agentic,verbose_low_quality,1
google/gemma-4-E2B-it,single_shot,evidence_insufficient,1
google/gemma-4-E2B-it,single_shot,language_or_format_failure,3
google/gemma-4-E2B-it,single_shot,missing_key_condition,16
google/gemma-4-E2B-it,single_shot,none,7
google/gemma-4-E2B-it,single_shot,over_answering,1
google/gemma-4-E2B-it,single_shot,unsupported_claim,1
google/gemma-4-E2B-it,single_shot,verbose_low_quality,1
google/gemma-4-E4B-it,agentic,language_or_format_failure,3
google/gemma-4-E4B-it,agentic,missing_key_condition,11
google/gemma-4-E4B-it,agentic,none,13
google/gemma-4-E4B-it,agentic,over_answering,1
google/gemma-4-E4B-it,agentic,unsupported_claim,1
google/gemma-4-E4B-it,agentic,verbose_low_quality,1
google/gemma-4-E4B-it,single_shot,evidence_insufficient,1
google/gemma-4-E4B-it,single_shot,language_or_format_failure,3
google/gemma-4-E4B-it,single_shot,missing_key_condition,13
google/gemma-4-E4B-it,single_shot,none,9
google/gemma-4-E4B-it,single_shot,over_answering,2
google/gemma-4-E4B-it,single_shot,unsupported_claim,1
google/gemma-4-E4B-it,single_shot,verbose_low_quality,1
