model,mode,n,avg_human_quality_score,avg_answer_acceptance,avg_readability,avg_citation_usefulness,avg_over_answering_risk,accepted_2_rate,unacceptable_0_rate,serious_over_answering_rate,clean_pass_rate,avg_wall_seconds,top_primary_failure_tags
Qwen/Qwen3.5-0.8B,agentic,30,0.5458,1.0,1.1,1.2,0.9333,0.2,0.2,0.2333,0.1,5.8056,unsupported_claim:11; verbose_low_quality:6; missing_key_condition:6; over_answering:3; citation_mismatch:2
Qwen/Qwen3.5-0.8B,single_shot,30,0.575,0.9667,1.3667,1.1,0.8333,0.1,0.1333,0.1667,0.0667,4.1371,unsupported_claim:11; missing_key_condition:10; citation_mismatch:2; verbose_low_quality:2; over_answering:2
Qwen/Qwen3.5-2B,agentic,30,0.6958,1.1,1.6333,1.4333,0.6,0.2333,0.1333,0.1667,0.1333,6.7949,missing_key_condition:9; unsupported_claim:6; over_answering:5; none:4; evidence_insufficient:2
Qwen/Qwen3.5-2B,single_shot,30,0.7125,1.0667,1.6667,1.4667,0.5,0.1667,0.1,0.0333,0.1,4.7459,missing_key_condition:17; over_answering:4; unsupported_claim:3; none:3; language_or_format_failure:2
Qwen/Qwen3.5-4B,agentic,30,0.7875,1.4,1.7667,1.7333,0.6,0.4667,0.0667,0.1333,0.4,8.8622,none:12; missing_key_condition:6; over_answering:5; unsupported_claim:4; citation_mismatch:1
Qwen/Qwen3.5-4B,single_shot,30,0.7792,1.3,1.6,1.7333,0.4,0.3,0.0,0.0333,0.2667,8.3288,missing_key_condition:9; none:8; unsupported_claim:5; over_answering:3; language_or_format_failure:3
Qwen/Qwen3.5-9B,agentic,30,0.9,1.7333,1.9333,1.9,0.3667,0.7333,0.0,0.0667,0.6667,11.1211,none:20; missing_key_condition:3; unsupported_claim:3; over_answering:3; verbose_low_quality:1
Qwen/Qwen3.5-9B,single_shot,30,0.875,1.5333,1.9333,1.7333,0.2,0.5667,0.0333,0.0,0.5333,4.1113,none:16; missing_key_condition:9; unsupported_claim:2; over_answering:2; evidence_insufficient:1
google/gemma-4-E2B-it,agentic,30,0.8375,1.3667,1.8,1.8333,0.3,0.4,0.0333,0.0333,0.4,8.6717,missing_key_condition:11; none:11; language_or_format_failure:5; over_answering:1; unsupported_claim:1
google/gemma-4-E2B-it,single_shot,30,0.8083,1.2,1.8333,1.6667,0.2333,0.2667,0.0667,0.0,0.2667,7.7176,missing_key_condition:16; none:7; language_or_format_failure:3; unsupported_claim:1; over_answering:1
google/gemma-4-E4B-it,agentic,30,0.8583,1.4667,1.8,1.8333,0.2333,0.4667,0.0,0.0333,0.4333,13.3141,none:13; missing_key_condition:11; language_or_format_failure:3; over_answering:1; verbose_low_quality:1
google/gemma-4-E4B-it,single_shot,30,0.8333,1.3667,1.7667,1.7,0.1667,0.3667,0.0,0.0,0.3333,3.8835,missing_key_condition:13; none:9; language_or_format_failure:3; over_answering:2; unsupported_claim:1
